tid,gamma,trueage,relmid,impsamp,freqonly
1,100,-96.302,-56.235,-87.711,-89.387
2,74.989,-67.816,-45.531,-69.392,-68.89
3,56.423,-59.336,-37.257,-60.536,-60.2
4,42.17,-42.906,-30.593,-44.321,-44.463
5,31.623,-32.158,-21.342,-31.241,-31.196
6,23.714,-21.097,-15.078,-22.421,-22.474
7,17.783,-19.192,-14.857,-19.534,-19.509
8,13.335,-14.373,-11.773,-15.11,-14.584
9,10,-9.554,-7.928,-9.854,-9.921
10,7.499,-7.169,-6.926,-7.958,-7.491
11,5.623,-5.446,-5.112,-5.813,-5.507
12,4.217,-4.297,-3.945,-4.72,-4.418
13,3.162,-2.969,-3.072,-3.303,-2.896
14,2.371,-2.072,-2.172,-2.255,-1.966
15,1.778,-1.677,-1.875,-1.926,-1.555
16,1.334,-1.362,-1.557,-1.617,-1.34
17,1,-1.353,-1.536,-1.571,-1.235
18,0.332,-0.44,-0.614,-0.643,-0.377
19,0.005,-0.076,-0.152,-0.165,0.023
20,0,-0.128,-0.204,-0.2,-0.017
21,100,-107.171,-74.743,-106.358,-107.128
22,74.989,-74.63,-51.404,-76.395,-74.744
23,56.423,-59.98,-39.993,-58.796,-60.719
24,42.17,-40.407,-25.642,-38.572,-39.555
25,31.623,-29.204,-20.673,-30.092,-29.846
26,23.714,-22.193,-16.738,-23.023,-21.339
27,17.783,-17.509,-13.198,-17.14,-17.765
28,13.335,-13.348,-10.56,-13.146,-12.84
29,10,-9.89,-8.987,-10.851,-10.28
30,7.499,-7.968,-7.57,-8.98,-8.187
31,5.623,-6.172,-5.569,-6.354,-5.687
32,4.217,-3.987,-4.202,-4.515,-4.215
33,3.162,-3.047,-3.125,-3.406,-3.021
34,2.371,-2.454,-2.742,-2.851,-2.466
35,1.778,-2.077,-2.285,-2.401,-2.078
36,1.334,-1.322,-1.44,-1.498,-1.178
37,1,-0.897,-1.118,-1.141,-0.807
38,0.332,-0.434,-0.592,-0.618,-0.364
39,0.005,-0.158,-0.287,-0.31,-0.076
40,0,0.148,0.143,0.149,0.26
41,100,-105.998,-68.119,-103.953,-106.86
42,74.989,-75.05,-43.864,-76.145,-72.987
43,56.423,-52.605,-33.422,-50.426,-50.067
44,42.17,-41.542,-30.682,-42.038,-42.705
45,31.623,-32.626,-23.659,-34.055,-32.113
46,23.714,-24.904,-20.343,-27.462,-26.563
47,17.783,-16.769,-12.731,-16.504,-15.687
48,13.335,-12.73,-10.065,-12.508,-12.255
49,10,-11.6,-9.986,-12.06,-11.8
50,7.499,-7.854,-6.482,-8.381,-7.928
51,5.623,-5.318,-4.907,-5.631,-5.194
52,4.217,-4.5,-4.021,-4.697,-4.305
53,3.162,-3.024,-3.016,-3.193,-2.893
54,2.371,-2.336,-2.384,-2.527,-2.293
55,1.778,-1.64,-1.839,-1.924,-1.606
56,1.334,-1.031,-1.22,-1.245,-0.97
57,1,-0.821,-0.968,-0.997,-0.757
58,0.332,-0.439,-0.637,-0.643,-0.371
59,0.005,0.011,-0.043,-0.06,0.107
60,0,0.096,0.068,0.063,0.193
61,100,-110.963,-70.366,-105.75,-104.161
62,74.989,-75.879,-50.409,-74.31,-73.906
63,56.423,-56.752,-39.261,-55.175,-56.762
64,42.17,-36.975,-25.793,-37.054,-38.525
65,31.623,-30.138,-22.272,-29.324,-29.775
66,23.714,-23.014,-17.864,-23.561,-23.189
67,17.783,-18.769,-13.182,-19.971,-20.747
68,13.335,-12.82,-10.921,-13.195,-11.703
69,10,-9.361,-7.901,-9.51,-9.159
70,7.499,-8.537,-7.913,-9.637,-9.025
71,5.623,-5.641,-5.5,-6.498,-6.069
72,4.217,-4.115,-4.198,-4.614,-4.249
73,3.162,-3.4,-3.495,-3.741,-3.359
74,2.371,-2.555,-2.676,-2.816,-2.523
75,1.778,-1.752,-1.879,-1.97,-1.674
76,1.334,-1.194,-1.412,-1.465,-1.226
77,1,-0.966,-1.129,-1.192,-0.934
78,0.332,-0.163,-0.268,-0.289,-0.09
79,0.005,-0.206,-0.325,-0.334,-0.121
80,0,0,-0.002,-0.015,0.115
81,100,-100.088,-61.835,-99.407,-101.783
82,74.989,-75.391,-53.506,-74.981,-79.222
83,56.423,-54.031,-36.401,-52.45,-53.778
84,42.17,-38.685,-26.325,-39.019,-40.111
85,31.623,-33.024,-26.106,-32.935,-32.073
86,23.714,-22.687,-15.855,-22.962,-23.015
87,17.783,-15.992,-13.479,-16.929,-16.191
88,13.335,-12.904,-10.105,-13.618,-13.326
89,10,-10.774,-9.162,-11.055,-10.694
90,7.499,-7.388,-6.541,-8.122,-7.527
91,5.623,-5.112,-4.952,-5.482,-4.945
92,4.217,-4.506,-4.579,-5.295,-4.962
93,3.162,-3.033,-3.148,-3.27,-2.864
94,2.371,-2.331,-2.513,-2.674,-2.407
95,1.778,-1.96,-2.159,-2.227,-1.897
96,1.334,-1.359,-1.64,-1.689,-1.357
97,1,-1.282,-1.522,-1.589,-1.335
98,0.332,-0.083,-0.146,-0.14,0.02
99,0.005,0.241,0.307,0.301,0.344
100,0,-0.145,-0.218,-0.239,-0.066
101,100,-103.979,-63.109,-100.731,-106.888
102,74.989,-70.633,-43.33,-64.97,-67.59
103,56.423,-60.842,-43.305,-64.516,-65.757
104,42.17,-45.448,-28.346,-45.723,-47.013
105,31.623,-35.641,-24.743,-34.879,-34.727
106,23.714,-24.216,-18.003,-24.23,-24.465
107,17.783,-17.935,-13.998,-19.153,-19.361
108,13.335,-13.91,-11.122,-14.082,-14.446
109,10,-9.092,-8.19,-9.335,-8.615
110,7.499,-7.618,-6.465,-8.093,-7.593
